t,ch1,ch1_marked,ch1_ai_marked
168.208,0.34508,0.0,1.615239747509989e-10
168.209,0.35786,0.0,7.1408989832377764e-09
168.21,0.32463,0.0,2.2474202410194266e-07
168.211,0.36042,0.0,4.4047563818594426e-08
168.212,0.35275,0.0,4.376317264132013e-08
168.213,0.35275,0.0,3.855201384794782e-07
168.214,0.33997,0.0,1.4233122556106537e-06
168.215,0.36809,0.0,4.018348320755649e-08
168.216,0.33486,0.0,2.894275041853689e-07
168.217,0.34252,0.0,8.237715292125358e-07
168.218,0.33997,0.0,5.445580609375611e-05
168.219,0.35531,0.0,1.712725861580111e-05
168.22,0.34508,0.0,5.320448508427944e-06
168.221,0.33741,0.0,4.058961167174857e-06
168.222,0.35275,0.0,2.248670227800177e-07
168.223,0.33997,0.0,5.254225357020914e-07
168.224,0.33741,0.0,2.534120824293496e-07
168.225,0.33997,0.0,4.153993415911828e-08
168.226,0.35531,0.0,2.043368425574954e-07
168.227,0.33486,0.0,8.126383477247145e-07
168.228,0.34508,0.0,3.053244427064783e-06
168.229,0.34508,0.0,2.766797990716441e-07
168.23,0.35019,0.0,1.5037079137414366e-08
168.231,0.34508,0.0,2.982634583759136e-09
168.232,0.3323,0.0,1.0870373046145689e-08
168.233,0.34252,0.0,1.4372255385808332e-08
168.234,0.33997,0.0,1.3450540237158748e-08
168.235,0.34252,0.0,3.596805697725358e-08
168.236,0.34252,0.0,5.572954986376999e-09
168.237,0.33486,0.0,8.856622457642518e-08
168.238,0.35275,0.0,1.6190344354072297e-07
168.239,0.33997,0.0,5.157884856998862e-07
168.24,0.32463,0.0,6.731306712026708e-07
168.241,0.3323,0.0,2.2589809134387906e-07
168.242,0.32719,0.0,1.334505697059285e-07
168.243,0.35786,0.0,6.764989848306868e-07
168.244,0.32974,0.0,1.8337500407028532e-08
168.245,0.34252,0.0,2.3125342067942256e-06
168.246,0.33997,0.0,4.073728632647544e-06
168.247,0.3323,0.0,1.9742956283153035e-05
168.248,0.34508,0.0,2.098520053550601e-05
168.249,0.32719,0.0,2.001411019136868e-07
168.25,0.3323,0.0,1.2048650432916477e-06
168.251,0.33486,0.0,7.185298045442323e-07
168.252,0.34252,0.0,9.905197657644749e-07
168.253,0.33486,0.0,4.346392870502314e-06
168.254,0.3323,0.0,3.6218932564224815e-06
168.255,0.31696,0.0,1.8499434872865093e-06
168.256,0.33741,0.0,1.358761920755569e-07
168.257,0.3323,0.0,4.5910934431958594e-07
168.258,0.34508,0.0,1.2787658931756596e-07
168.259,0.33997,0.0,1.6787042866894808e-08
168.26,0.32719,0.0,6.159078225209669e-07
168.261,0.31952,0.0,1.0321131185264676e-06
168.262,0.33997,0.0,1.6243949119143508e-07
168.263,0.3323,0.0,1.529172521941291e-07
168.264,0.33741,0.0,3.353292470364977e-07
168.265,0.33741,0.0,3.1449192761101585e-07
168.266,0.3323,0.0,1.192889840240241e-06
168.267,0.32719,0.0,1.623928653771145e-07
168.268,0.34508,0.0,5.393093829297868e-07
168.269,0.33997,0.0,1.0093136552313808e-05
168.27,0.33486,0.0,2.968334456454613e-06
168.271,0.3323,0.0,6.956894083032239e-08
168.272,0.34252,0.0,1.2641733064810978e-06
168.273,0.33997,0.0,4.424873054631462e-07
168.274,0.33741,0.0,1.1568476310230837e-07
168.275,0.32974,0.0,9.391728212904128e-07
168.276,0.35019,0.0,2.148539124391391e-06
168.277,0.35019,0.0,5.217463240114739e-06
168.278,0.35786,0.0,1.5152521655181772e-06
168.279,0.34764,0.0,3.62951777788112e-06
168.28,0.37064,0.0,1.9988920030300505e-05
168.281,0.3732,0.0,0.0024019160773605
168.282,0.39109,0.0,7.120514783309773e-05
168.283,0.40643,0.0,0.0002161047159461
168.284,0.42688,0.0,0.0123238172382116
168.285,0.4371,0.0,0.0717588290572166
168.286,0.43199,0.0,0.0111556276679039
168.287,0.46522,0.0,0.0207280199974775
168.288,0.47289,0.0,0.0026195480022579
168.289,0.49845,0.0,0.0855716317892074
168.29,0.52912,0.0,0.8610342144966125
168.291,0.54957,0.0,0.3371409475803375
168.292,0.54702,0.0,0.284170538187027
168.293,0.58025,0.0,0.0051493123173713
168.294,0.59814,0.0,0.5226916074752808
168.295,0.6007,0.0,0.9933786392211914
168.296,0.61859,0.0,0.9518471360206604
168.297,0.61092,0.0,0.943420946598053
168.298,0.63137,0.0,0.999002993106842
168.299,0.66204,0.0,0.9745157957077026
168.3,0.66204,0.0,0.7310420274734497
168.301,0.66716,1.0,0.3668233752250671
168.302,0.68249,1.0,0.8750828504562378
168.303,0.68505,1.0,0.9351004362106324
168.304,0.70805,1.0,0.9048014283180236
168.305,0.71572,1.0,0.9956713914871216
168.306,0.71828,1.0,0.9665269255638124
168.307,0.71572,1.0,0.8828900456428528
168.308,0.71317,1.0,0.9133392572402954
168.309,0.72339,1.0,0.5607645511627197
168.31,0.72083,1.0,0.8097044229507446
168.311,0.71317,1.0,0.9799870252609252
168.312,0.71828,1.0,0.927008867263794
168.313,0.7464,1.0,0.9822739362716676
168.314,0.7285,1.0,0.9934631586074828
168.315,0.74128,1.0,0.9164345264434814
168.316,0.72595,1.0,0.8207674622535706
168.317,0.72083,1.0,0.8919472098350525
168.318,0.72083,1.0,0.7278642654418945
168.319,0.70294,1.0,0.9476324319839478
168.32,0.68505,1.0,0.8724901080131531
168.321,0.70805,1.0,0.8560118079185486
168.322,0.70294,1.0,0.9327704906463624
168.323,0.69527,1.0,0.9592408537864684
168.324,0.68505,1.0,0.95827054977417
168.325,0.68249,1.0,0.719194769859314
168.326,0.69016,1.0,0.9915503263473512
168.327,0.67482,1.0,0.9949989914894104
168.328,0.67227,1.0,0.9985873699188232
168.329,0.67227,1.0,0.9992833137512208
168.33,0.6876,1.0,0.958066463470459
168.331,0.68505,1.0,0.9677996635437012
168.332,0.67482,0.0,0.3620485067367553
168.333,0.67738,0.0,0.4841131865978241
168.334,0.68249,0.0,0.4643842577934265
168.335,0.67738,0.0,0.8096458315849304
168.336,0.67994,0.0,0.8914302587509155
168.337,0.68505,0.0,0.5281538963317871
168.338,0.66204,0.0,0.1230841055512428
168.339,0.6876,0.0,0.3466363847255707
